case_id,tier,category,officer,incident_date,file_path
case_038,3,Human Trafficking (BNS Sec. 143),Kritika Sankaran,2025-05-13,data/raw/firs/case_038.txt
case_039,3,Human Trafficking (BNS Sec. 143),Vamakshi Manda,2022-03-03,data/raw/firs/case_039.txt
case_040,3,Financial Fraud / Cheating (BNS Sec. 318),Hemal Nagy,2024-08-08,data/raw/firs/case_040.txt
case_041,3,Human Trafficking (BNS Sec. 143),Arya Karnik,2023-10-31,data/raw/firs/case_041.txt
case_042,3,"Narcotics Offence (NDPS Act, Sec. 8)",Krisha Sarkar,2024-06-21,data/raw/firs/case_042.txt
case_043,3,Human Trafficking (BNS Sec. 143),Eshana Dua,2025-04-25,data/raw/firs/case_043.txt
case_044,3,Human Trafficking (BNS Sec. 143),Yochana Kade,2023-02-05,data/raw/firs/case_044.txt
case_045,3,Extortion (BNS Sec. 308),Harsh Trivedi,2024-11-29,data/raw/firs/case_045.txt
case_046,3,Human Trafficking (BNS Sec. 143),Ira Deshpande,2023-04-24,data/raw/firs/case_046.txt
case_047,3,"Narcotics Offence (NDPS Act, Sec. 8)",Chaaya Seth,2025-08-04,data/raw/firs/case_047.txt
case_048,3,Financial Fraud / Cheating (BNS Sec. 318),Aryan Nadig,2023-08-26,data/raw/firs/case_048.txt
case_049,3,Human Trafficking (BNS Sec. 143),Libni Gour,2024-10-20,data/raw/firs/case_049.txt
case_050,3,"Narcotics Offence (NDPS Act, Sec. 8)",Falguni Lala,2022-01-10,data/raw/firs/case_050.txt
case_051,1,Theft (BNS Sec. 303),Ridhi Balasubramanian,2025-09-18,data/raw/firs/case_051.txt
case_052,1,Simple Assault (BNS Sec. 115),Jeremiah Bora,2024-07-25,data/raw/firs/case_052.txt
case_053,1,Theft (BNS Sec. 303),Baljiwan Yadav,2024-04-13,data/raw/firs/case_053.txt
case_054,1,Simple Assault (BNS Sec. 115),Samar Shukla,2025-12-20,data/raw/firs/case_054.txt
case_055,1,Public Nuisance (BNS Sec. 296),Harshil Soni,2023-10-08,data/raw/firs/case_055.txt
case_056,1,Simple Assault (BNS Sec. 115),Theodore Sanghvi,2024-11-16,data/raw/firs/case_056.txt
case_057,1,Theft (BNS Sec. 303),Qabil Mann,2022-03-02,data/raw/firs/case_057.txt
case_058,1,Theft (BNS Sec. 303),Wazir Barad,2025-02-27,data/raw/firs/case_058.txt
case_059,1,Theft (BNS Sec. 303),Eiravati Menon,2024-03-31,data/raw/firs/case_059.txt
case_060,1,Missing Person Report,Oeshi Minhas,2023-08-19,data/raw/firs/case_060.txt
case_061,1,Theft (BNS Sec. 303),Waida Singhal,2022-05-17,data/raw/firs/case_061.txt
case_062,1,Theft (BNS Sec. 303),Jason Mohanty,2025-11-03,data/raw/firs/case_062.txt
case_063,1,Public Nuisance (BNS Sec. 296),Aarna Tak,2023-03-14,data/raw/firs/case_063.txt
case_064,1,Missing Person Report,Vincent Kakar,2022-04-18,data/raw/firs/case_064.txt
case_065,1,Missing Person Report,Brinda More,2024-02-08,data/raw/firs/case_065.txt
case_066,1,Theft (BNS Sec. 303),Lekha Kumer,2024-05-09,data/raw/firs/case_066.txt
case_067,1,Public Nuisance (BNS Sec. 296),Agastya Radhakrishnan,2025-03-05,data/raw/firs/case_067.txt
case_068,1,Simple Assault (BNS Sec. 115),Champak Wable,2025-10-14,data/raw/firs/case_068.txt
case_069,1,Theft (BNS Sec. 303),Avi Narayanan,2023-11-21,data/raw/firs/case_069.txt
case_070,1,Simple Assault (BNS Sec. 115),Saksham Mittal,2023-09-30,data/raw/firs/case_070.txt
case_071,1,Missing Person Report,Hamsini Samra,2022-02-01,data/raw/firs/case_071.txt
case_072,1,Public Nuisance (BNS Sec. 296),Atharv Bahl,2022-08-30,data/raw/firs/case_072.txt
case_073,1,Theft (BNS Sec. 303),Hitesh Madan,2023-05-20,data/raw/firs/case_073.txt
case_074,1,Theft (BNS Sec. 303),Peter Basu,2022-01-23,data/raw/firs/case_074.txt
case_075,1,Missing Person Report,Diya Ratti,2024-08-10,data/raw/firs/case_075.txt
case_076,1,Public Nuisance (BNS Sec. 296),Tanay Joshi,2022-12-30,data/raw/firs/case_076.txt
case_077,1,Public Nuisance (BNS Sec. 296),Girindra Kashyap,2024-07-05,data/raw/firs/case_077.txt
case_078,1,Missing Person Report,Eta Borde,2022-09-26,data/raw/firs/case_078.txt
case_079,1,Missing Person Report,Gabriel Loke,2025-08-11,data/raw/firs/case_079.txt
case_080,1,Missing Person Report,Nandini Grewal,2022-08-27,data/raw/firs/case_080.txt
case_081,1,Public Nuisance (BNS Sec. 296),Amaira Hayer,2024-05-11,data/raw/firs/case_081.txt
case_082,1,Simple Assault (BNS Sec. 115),Urmi Choudhry,2022-01-01,data/raw/firs/case_082.txt
case_083,1,Simple Assault (BNS Sec. 115),Advaith Ramachandran,2025-04-28,data/raw/firs/case_083.txt
case_084,1,Public Nuisance (BNS Sec. 296),Amol Shetty,2022-02-10,data/raw/firs/case_084.txt
case_085,1,Missing Person Report,Keya Narang,2023-01-19,data/raw/firs/case_085.txt
case_086,1,Theft (BNS Sec. 303),Aarav Chandran,2025-05-17,data/raw/firs/case_086.txt
case_087,1,Public Nuisance (BNS Sec. 296),Neha Rai,2022-03-28,data/raw/firs/case_087.txt
case_088,1,Missing Person Report,Chatura Parmer,2023-03-13,data/raw/firs/case_088.txt
case_089,1,Theft (BNS Sec. 303),Benjamin Badal,2023-06-13,data/raw/firs/case_089.txt
case_090,1,Simple Assault (BNS Sec. 115),Nikita Bhargava,2025-06-03,data/raw/firs/case_090.txt
case_091,1,Missing Person Report,Advaith Gour,2023-08-30,data/raw/firs/case_091.txt
case_092,1,Theft (BNS Sec. 303),Dhruv Brahmbhatt,2022-05-31,data/raw/firs/case_092.txt
case_093,1,Public Nuisance (BNS Sec. 296),Shivani Magar,2022-07-04,data/raw/firs/case_093.txt
case_094,1,Public Nuisance (BNS Sec. 296),Atharv Palla,2025-04-08,data/raw/firs/case_094.txt
case_095,1,Simple Assault (BNS Sec. 115),Chandresh Basak,2022-02-01,data/raw/firs/case_095.txt
case_096,1,Missing Person Report,Sachi Wadhwa,2024-02-01,data/raw/firs/case_096.txt
case_097,1,Missing Person Report,Vanya Bail,2022-09-18,data/raw/firs/case_097.txt
case_098,1,Public Nuisance (BNS Sec. 296),Adweta Kumer,2025-03-22,data/raw/firs/case_098.txt
case_099,1,Public Nuisance (BNS Sec. 296),Vedika Hayer,2024-03-01,data/raw/firs/case_099.txt
case_100,1,Public Nuisance (BNS Sec. 296),Tamanna Kara,2025-07-08,data/raw/firs/case_100.txt
case_101,1,Public Nuisance (BNS Sec. 296),Jonathan Krishnamurthy,2023-09-29,data/raw/firs/case_101.txt
case_102,1,Public Nuisance (BNS Sec. 296),Upadhriti Dewan,2025-06-04,data/raw/firs/case_102.txt
case_103,1,Public Nuisance (BNS Sec. 296),Tamanna Iyer,2023-01-24,data/raw/firs/case_103.txt
case_104,1,Public Nuisance (BNS Sec. 296),Yahvi Chhabra,2025-07-12,data/raw/firs/case_104.txt
case_105,1,Missing Person Report,Ekalinga Mishra,2025-11-07,data/raw/firs/case_105.txt
case_106,1,Theft (BNS Sec. 303),Qushi De,2024-09-15,data/raw/firs/case_106.txt
case_107,1,Theft (BNS Sec. 303),Mason Basak,2024-05-13,data/raw/firs/case_107.txt
case_108,1,Theft (BNS Sec. 303),Advay Khatri,2022-08-01,data/raw/firs/case_108.txt
case_109,1,Simple Assault (BNS Sec. 115),George Raj,2022-03-21,data/raw/firs/case_109.txt
case_110,1,Missing Person Report,Vasatika Vaidya,2023-05-04,data/raw/firs/case_110.txt
case_111,1,Missing Person Report,Ekalinga Kamdar,2023-06-11,data/raw/firs/case_111.txt
case_112,1,Missing Person Report,Omya Lalla,2025-05-06,data/raw/firs/case_112.txt
case_113,1,Public Nuisance (BNS Sec. 296),Jonathan Wason,2023-08-24,data/raw/firs/case_113.txt
case_114,1,Public Nuisance (BNS Sec. 296),Mason Ramesh,2022-05-21,data/raw/firs/case_114.txt
case_115,1,Missing Person Report,Zansi Mani,2023-04-13,data/raw/firs/case_115.txt
case_116,1,Theft (BNS Sec. 303),Indali Gola,2025-02-19,data/raw/firs/case_116.txt
case_117,1,Public Nuisance (BNS Sec. 296),Pushti Sarma,2023-07-28,data/raw/firs/case_117.txt
case_118,1,Theft (BNS Sec. 303),Mason Chakrabarti,2023-02-22,data/raw/firs/case_118.txt
case_119,1,Simple Assault (BNS Sec. 115),Neelima Krishnan,2022-05-22,data/raw/firs/case_119.txt
case_120,1,Missing Person Report,Januja Dar,2024-04-22,data/raw/firs/case_120.txt
case_121,1,Theft (BNS Sec. 303),Ojas Kunda,2023-05-26,data/raw/firs/case_121.txt
case_122,1,Public Nuisance (BNS Sec. 296),Daksha Bobal,2022-04-06,data/raw/firs/case_122.txt
case_123,1,Simple Assault (BNS Sec. 115),Tripti Bains,2023-08-01,data/raw/firs/case_123.txt
case_124,1,Public Nuisance (BNS Sec. 296),Zinal Mody,2024-12-23,data/raw/firs/case_124.txt
case_125,1,Simple Assault (BNS Sec. 115),Jeet Palla,2022-07-08,data/raw/firs/case_125.txt
case_126,1,Missing Person Report,Keya Purohit,2022-10-11,data/raw/firs/case_126.txt
case_127,1,Public Nuisance (BNS Sec. 296),Tanish Muni,2023-11-09,data/raw/firs/case_127.txt
case_128,1,Theft (BNS Sec. 303),Ekiya Barad,2025-04-23,data/raw/firs/case_128.txt
case_129,1,Missing Person Report,Zehaan Dalal,2022-02-06,data/raw/firs/case_129.txt
case_130,1,Simple Assault (BNS Sec. 115),Jonathan Sane,2024-01-03,data/raw/firs/case_130.txt
case_131,2,Extortion (BNS Sec. 308),Baghyawati Balan,2022-03-10,data/raw/firs/case_131.txt
case_132,2,Financial Fraud / Cheating (BNS Sec. 318),Aahana Rout,2022-02-13,data/raw/firs/case_132.txt
case_133,2,"Narcotics Offence (NDPS Act, Sec. 8)",Ronith Saraf,2025-05-10,data/raw/firs/case_133.txt
case_134,2,Extortion (BNS Sec. 308),Aarna Sheth,2025-07-26,data/raw/firs/case_134.txt
case_135,2,"Narcotics Offence (NDPS Act, Sec. 8)",Abha Shanker,2022-06-03,data/raw/firs/case_135.txt
case_136,2,Extortion (BNS Sec. 308),Guneet Gill,2024-09-14,data/raw/firs/case_136.txt
case_137,2,Human Trafficking (BNS Sec. 143),Alexander Venkataraman,2022-05-18,data/raw/firs/case_137.txt
case_138,2,Human Trafficking (BNS Sec. 143),Peter Sarin,2023-09-30,data/raw/firs/case_138.txt
case_139,2,Extortion (BNS Sec. 308),Idika Saxena,2023-10-16,data/raw/firs/case_139.txt
case_140,2,Financial Fraud / Cheating (BNS Sec. 318),Sanaya Saini,2022-10-07,data/raw/firs/case_140.txt
case_141,2,Human Trafficking (BNS Sec. 143),Veer Dey,2022-05-29,data/raw/firs/case_141.txt
case_142,2,"Narcotics Offence (NDPS Act, Sec. 8)",Christopher Borah,2022-06-04,data/raw/firs/case_142.txt
case_143,2,Financial Fraud / Cheating (BNS Sec. 318),Alka Sheth,2024-07-16,data/raw/firs/case_143.txt
case_144,2,Human Trafficking (BNS Sec. 143),Bimala Sankaran,2025-01-23,data/raw/firs/case_144.txt
case_145,2,"Narcotics Offence (NDPS Act, Sec. 8)",Advay Sinha,2024-01-24,data/raw/firs/case_145.txt
case_146,2,Human Trafficking (BNS Sec. 143),Bishakha Pathak,2022-04-02,data/raw/firs/case_146.txt
case_147,2,Human Trafficking (BNS Sec. 143),Wishi Hari,2025-12-12,data/raw/firs/case_147.txt
case_148,2,Financial Fraud / Cheating (BNS Sec. 318),Aayush Prabhakar,2022-09-23,data/raw/firs/case_148.txt
case_149,2,Extortion (BNS Sec. 308),Anita Mangal,2023-12-01,data/raw/firs/case_149.txt
case_150,2,Human Trafficking (BNS Sec. 143),Wriddhish Dugal,2023-12-22,data/raw/firs/case_150.txt
case_151,2,"Narcotics Offence (NDPS Act, Sec. 8)",Upma Mahal,2022-06-23,data/raw/firs/case_151.txt
case_152,2,Human Trafficking (BNS Sec. 143),Pallavi Murthy,2025-11-04,data/raw/firs/case_152.txt
case_153,2,"Narcotics Offence (NDPS Act, Sec. 8)",Pavani Borah,2024-08-27,data/raw/firs/case_153.txt
case_154,2,Financial Fraud / Cheating (BNS Sec. 318),Robert Sarna,2022-06-09,data/raw/firs/case_154.txt
case_155,2,Human Trafficking (BNS Sec. 143),Rachita Chakrabarti,2024-05-04,data/raw/firs/case_155.txt
case_156,2,Human Trafficking (BNS Sec. 143),Nakul Gopal,2022-03-03,data/raw/firs/case_156.txt
case_157,2,Extortion (BNS Sec. 308),Zashil Srivastava,2024-10-20,data/raw/firs/case_157.txt
case_158,2,Human Trafficking (BNS Sec. 143),Harrison Kala,2025-03-19,data/raw/firs/case_158.txt
case_159,2,"Narcotics Offence (NDPS Act, Sec. 8)",Yachana Subramaniam,2022-01-30,data/raw/firs/case_159.txt
case_160,2,Financial Fraud / Cheating (BNS Sec. 318),Warda Setty,2025-07-03,data/raw/firs/case_160.txt
case_161,2,"Narcotics Offence (NDPS Act, Sec. 8)",Viraj Palan,2025-09-18,data/raw/firs/case_161.txt
case_162,2,Human Trafficking (BNS Sec. 143),Ryan Chaudhuri,2024-02-23,data/raw/firs/case_162.txt
case_163,2,"Narcotics Offence (NDPS Act, Sec. 8)",Bhavika Bajaj,2024-02-16,data/raw/firs/case_163.txt
case_164,2,Human Trafficking (BNS Sec. 143),Ishanvi Mitter,2025-04-08,data/raw/firs/case_164.txt
case_165,2,Human Trafficking (BNS Sec. 143),Gunbir Bains,2022-01-26,data/raw/firs/case_165.txt
case_166,2,Extortion (BNS Sec. 308),Edhitha Kar,2025-05-31,data/raw/firs/case_166.txt
case_167,2,Financial Fraud / Cheating (BNS Sec. 318),Nakul Taneja,2022-05-28,data/raw/firs/case_167.txt
case_168,2,Human Trafficking (BNS Sec. 143),Sara Naik,2022-06-14,data/raw/firs/case_168.txt
case_169,2,Financial Fraud / Cheating (BNS Sec. 318),Neelima Keer,2022-07-05,data/raw/firs/case_169.txt
case_170,2,Human Trafficking (BNS Sec. 143),Dipta Mane,2025-08-02,data/raw/firs/case_170.txt
case_171,2,Extortion (BNS Sec. 308),Abhiram Dua,2022-08-25,data/raw/firs/case_171.txt
case_172,2,"Narcotics Offence (NDPS Act, Sec. 8)",Sudiksha Misra,2023-06-11,data/raw/firs/case_172.txt
case_173,2,"Narcotics Offence (NDPS Act, Sec. 8)",Ishanvi Dewan,2024-05-02,data/raw/firs/case_173.txt
case_174,2,Human Trafficking (BNS Sec. 143),Yashoda Cherian,2023-11-08,data/raw/firs/case_174.txt
case_175,2,Extortion (BNS Sec. 308),Oeshi Mohanty,2024-03-06,data/raw/firs/case_175.txt
case_176,2,Human Trafficking (BNS Sec. 143),Hema Chakrabarti,2025-11-22,data/raw/firs/case_176.txt
case_177,2,Human Trafficking (BNS Sec. 143),Amara Ratti,2025-04-04,data/raw/firs/case_177.txt
case_178,2,"Narcotics Offence (NDPS Act, Sec. 8)",Balveer Char,2024-07-26,data/raw/firs/case_178.txt
case_179,2,Financial Fraud / Cheating (BNS Sec. 318),Tanmayi Mohan,2024-06-21,data/raw/firs/case_179.txt
case_180,2,Human Trafficking (BNS Sec. 143),Zaitra Parsa,2024-08-05,data/raw/firs/case_180.txt
case_181,2,"Narcotics Offence (NDPS Act, Sec. 8)",Gayathri Apte,2025-01-13,data/raw/firs/case_181.txt
case_182,2,Financial Fraud / Cheating (BNS Sec. 318),Aadi Murthy,2022-06-21,data/raw/firs/case_182.txt
case_183,2,"Narcotics Offence (NDPS Act, Sec. 8)",Faqid Rama,2024-11-28,data/raw/firs/case_183.txt
case_184,2,Financial Fraud / Cheating (BNS Sec. 318),Turvi Patla,2024-11-19,data/raw/firs/case_184.txt
case_185,2,Financial Fraud / Cheating (BNS Sec. 318),Hemani Sawhney,2022-03-03,data/raw/firs/case_185.txt
case_186,2,Human Trafficking (BNS Sec. 143),Gopal Balan,2023-09-28,data/raw/firs/case_186.txt
case_187,2,"Narcotics Offence (NDPS Act, Sec. 8)",George Shankar,2025-05-16,data/raw/firs/case_187.txt
case_188,2,Human Trafficking (BNS Sec. 143),Gautam Boase,2022-06-29,data/raw/firs/case_188.txt
case_189,2,Human Trafficking (BNS Sec. 143),Girindra Chaudhry,2024-09-11,data/raw/firs/case_189.txt
case_190,2,Extortion (BNS Sec. 308),Eiravati Basu,2022-02-15,data/raw/firs/case_190.txt
case_191,2,"Narcotics Offence (NDPS Act, Sec. 8)",Vihaan Baral,2023-04-17,data/raw/firs/case_191.txt
case_192,2,Financial Fraud / Cheating (BNS Sec. 318),Bhavna Oommen,2025-12-01,data/raw/firs/case_192.txt
case_193,2,Human Trafficking (BNS Sec. 143),Lekha Kari,2022-08-20,data/raw/firs/case_193.txt
case_194,2,Financial Fraud / Cheating (BNS Sec. 318),Amrita Vyas,2024-10-15,data/raw/firs/case_194.txt
case_195,2,Human Trafficking (BNS Sec. 143),Harita Misra,2025-06-12,data/raw/firs/case_195.txt
case_196,2,Extortion (BNS Sec. 308),Lopa Sane,2025-09-13,data/raw/firs/case_196.txt
case_197,2,Human Trafficking (BNS Sec. 143),Manan Thakkar,2024-09-22,data/raw/firs/case_197.txt
case_198,2,Human Trafficking (BNS Sec. 143),Ekani Pal,2023-06-08,data/raw/firs/case_198.txt
case_199,2,"Narcotics Offence (NDPS Act, Sec. 8)",Udant Viswanathan,2022-01-24,data/raw/firs/case_199.txt
case_200,2,Human Trafficking (BNS Sec. 143),Zaid Bajwa,2024-01-24,data/raw/firs/case_200.txt
