case_id,tier,hub_id,num_entities,entities_involved,evidence_types,bridge_entities,linked_cases
case_019,3,H6,12,p_101;p_091;p_094;p_086;p_089;p_100;p_102;p_088;p_097;p_099;p_092;p_090,FIR;CDR;Financial;Photo,,
case_020,3,H3,9,p_043;p_046;p_049;p_037;p_040;p_038;p_051;p_045;p_044,FIR;CDR;Financial;Photo,,
case_021,3,H3,11,p_041;p_042;p_048;p_051;p_046;p_038;p_047;p_043;p_050;p_040;p_044,FIR;CDR;Financial;Photo,,
case_022,3,H1,8,p_009;p_016;p_005;p_004;p_012;p_010;p_006;p_008,FIR;CDR;Financial;Photo,,
case_023,3,H6,13,p_097;p_088;p_089;p_087;p_100;p_093;p_098;p_091;p_096;p_102;p_090;p_092;p_086,FIR;CDR;Financial;Photo,,
case_024,3,H4,13,p_054;p_055;p_066;p_058;p_064;p_063;p_067;p_059;p_068;p_065;p_061;p_057;p_060,FIR;CDR;Financial;Photo,,
case_025,3,H1,14,p_015;p_013;p_012;p_002;p_017;p_003;p_016;p_011;p_001;p_010;p_005;p_004;p_014;p_006,FIR;CDR;Financial;Photo,,
case_026,3,H6,13,p_090;p_102;p_086;p_100;p_098;p_097;p_096;p_087;p_094;p_088;p_089;p_095;p_091,FIR;CDR;Financial;Photo,,
case_027,3,H1,12,p_007;p_010;p_009;p_004;p_013;p_016;p_006;p_005;p_015;p_017;p_008;p_002,FIR;CDR;Financial;Photo,,
case_028,3,H1,13,p_015;p_014;p_016;p_009;p_003;p_017;p_013;p_012;p_010;p_001;p_007;p_004;p_002,FIR;CDR;Financial;Photo,,
case_029,3,H5,8,p_073;p_074;p_071;p_076;p_078;p_080;p_070;p_077,FIR;CDR;Financial;Photo,,
case_030,3,H1,13,p_017;p_016;p_013;p_015;p_002;p_009;p_001;p_004;p_010;p_005;p_011;p_007;p_008,FIR;CDR;Financial;Photo,,
case_031,3,H4,8,p_054;p_066;p_057;p_061;p_060;p_065;p_064;p_055,FIR;CDR;Financial;Photo,,
case_032,3,H6,12,p_100;p_101;p_094;p_089;p_097;p_102;p_090;p_098;p_099;p_093;p_087;p_095,FIR;CDR;Financial;Photo,,
case_033,3,H1,14,p_015;p_011;p_002;p_016;p_004;p_007;p_017;p_013;p_005;p_014;p_012;p_008;p_003;p_006,FIR;CDR;Financial;Photo,,
case_034,3,H3,10,p_049;p_042;p_046;p_036;p_041;p_050;p_037;p_038;p_045;p_047,FIR;CDR;Financial;Photo,,
case_035,3,H5,14,p_079;p_082;p_072;p_074;p_084;p_070;p_081;p_069;p_085;p_076;p_083;p_077;p_078;p_075,FIR;CDR;Financial;Photo,,
case_036,3,H3,12,p_051;p_037;p_036;p_047;p_038;p_049;p_046;p_039;p_044;p_035;p_041;p_045,FIR;CDR;Financial;Photo,,
case_037,3,H3,10,p_048;p_043;p_041;p_037;p_050;p_047;p_044;p_042;p_040;p_036,FIR;CDR;Financial;Photo,,
case_038,3,H3,8,p_040;p_048;p_049;p_036;p_039;p_035;p_045;p_050,FIR;CDR;Financial;Photo,,
case_039,3,H3,9,p_042;p_037;p_039;p_048;p_036;p_051;p_035;p_040;p_043,FIR;CDR;Financial;Photo,,
case_040,3,H4,12,p_056;p_053;p_060;p_063;p_055;p_067;p_054;p_068;p_052;p_062;p_065;p_059,FIR;CDR;Financial;Photo,,
case_041,3,H6,12,p_102;p_092;p_090;p_093;p_094;p_096;p_088;p_100;p_091;p_086;p_097;p_099,FIR;CDR;Financial;Photo,,
case_042,3,H1,8,p_017;p_007;p_009;p_008;p_004;p_014;p_002;p_016,FIR;CDR;Financial;Photo,,
case_043,3,H6,15,p_098;p_095;p_097;p_089;p_099;p_091;p_102;p_088;p_092;p_100;p_086;p_087;p_094;p_090;p_101,FIR;CDR;Financial;Photo,,
case_044,3,H6,12,p_099;p_091;p_086;p_087;p_096;p_092;p_094;p_090;p_089;p_095;p_100;p_098,FIR;CDR;Financial;Photo,,
case_045,3,H2,10,p_026;p_032;p_018;p_022;p_023;p_030;p_034;p_029;p_021;p_033,FIR;CDR;Financial;Photo,,
case_046,3,H3,11,p_046;p_040;p_035;p_050;p_041;p_036;p_042;p_039;p_043;p_038;p_051,FIR;CDR;Financial;Photo,,
case_047,3,H5,8,p_071;p_077;p_082;p_070;p_085;p_075;p_078;p_069,FIR;CDR;Financial;Photo,,
case_048,3,H4,8,p_061;p_068;p_062;p_055;p_053;p_067;p_060;p_054,FIR;CDR;Financial;Photo,,
case_049,3,H6,14,p_096;p_101;p_088;p_090;p_097;p_095;p_102;p_100;p_086;p_092;p_091;p_093;p_099;p_087,FIR;CDR;Financial;Photo,,
case_050,3,H5,8,p_076;p_071;p_069;p_083;p_084;p_079;p_074;p_070,FIR;CDR;Financial;Photo,,
case_051,1,H2,2,p_109;p_032,FIR,p_109,
case_052,1,H3,1,p_110,FIR,p_110,
case_053,1,H4,1,p_111,FIR,p_111,
case_054,1,H1,1,p_103,FIR,p_103,
case_055,1,H1,1,p_112,FIR,p_112,
case_056,1,H1,1,p_108,FIR,p_108,
case_057,1,H5,2,p_107;p_084,FIR,p_107,
case_058,1,H2,2,p_104;p_020,FIR,p_104,
case_059,1,H4,1,p_106,FIR,p_106,
case_060,1,H2,1,p_025,FIR,,
case_061,1,H6,2,p_101;p_098,FIR,,
case_062,1,H1,2,p_010;p_002,FIR,,
case_063,1,H5,1,p_071,FIR,,
case_064,1,H5,1,p_079,FIR,,
case_065,1,H3,2,p_039;p_035,FIR,,
case_066,1,H4,1,p_067,FIR,,
case_067,1,H3,1,p_041,FIR,,
case_068,1,H6,2,p_095;p_102,FIR,,
case_069,1,H4,2,p_066;p_055,FIR,,
case_070,1,H5,1,p_078,FIR,,
case_071,1,H1,2,p_001;p_010,FIR,,
case_072,1,H4,1,p_068,FIR,,
case_073,1,H4,2,p_064;p_058,FIR,,
case_074,1,H2,1,p_020,FIR,,
case_075,1,H2,2,p_029;p_022,FIR,,
case_076,1,H5,2,p_072;p_080,FIR,,
case_077,1,H2,2,p_033;p_030,FIR,,
case_078,1,H1,1,p_001,FIR,,
case_079,1,H4,2,p_064;p_061,FIR,,
case_080,1,H6,1,p_099,FIR,,
case_081,1,H3,2,p_045;p_038,FIR,,
case_082,1,H3,1,p_045,FIR,,
case_083,1,H3,2,p_038;p_041,FIR,,
case_084,1,H6,1,p_095,FIR,,
case_085,1,H3,2,p_037;p_047,FIR,,
case_086,1,H4,1,p_063,FIR,,
case_087,1,H4,2,p_053;p_060,FIR,,
case_088,1,H1,1,p_010,FIR,,
case_089,1,H6,1,p_093,FIR,,
case_090,1,H3,2,p_051;p_045,FIR,,
case_091,1,H2,2,p_031;p_018,FIR,,
case_092,1,H6,2,p_092;p_088,FIR,,
case_093,1,H1,2,p_015;p_005,FIR,,
case_094,1,H6,2,p_101;p_087,FIR,,
case_095,1,H5,1,p_074,FIR,,
case_096,1,H4,2,p_062;p_061,FIR,,
case_097,1,H3,2,p_043;p_047,FIR,,
case_098,1,H6,1,p_095,FIR,,
case_099,1,H4,2,p_055;p_057,FIR,,
case_100,1,H6,1,p_088,FIR,,
case_101,1,H2,2,p_025;p_032,FIR,,
case_102,1,H3,2,p_048;p_039,FIR,,
case_103,1,H5,1,p_076,FIR,,
case_104,1,H1,1,p_011,FIR,,
case_105,1,H5,1,p_079,FIR,,
case_106,1,H2,2,p_026;p_024,FIR,,
case_107,1,H1,2,p_013;p_014,FIR,,
case_108,1,H6,1,p_098,FIR,,
case_109,1,H3,2,p_036;p_050,FIR,,
case_110,1,H3,2,p_039;p_041,FIR,,
case_111,1,H1,2,p_008;p_013,FIR,,
case_112,1,H4,2,p_065;p_061,FIR,,
case_113,1,H1,1,p_002,FIR,,
case_114,1,H4,2,p_067;p_052,FIR,,
case_115,1,H1,2,p_017;p_015,FIR,,
case_116,1,H4,1,p_055,FIR,,
case_117,1,H2,1,p_022,FIR,,
case_118,1,H5,1,p_083,FIR,,
case_119,1,H1,1,p_001,FIR,,
case_120,1,H2,1,p_019,FIR,,
case_121,1,H6,2,p_090;p_094,FIR,,
case_122,1,H5,2,p_072;p_085,FIR,,
case_123,1,H1,2,p_017;p_007,FIR,,
case_124,1,H4,2,p_059;p_052,FIR,,
case_125,1,H1,2,p_015;p_009,FIR,,
case_126,1,H3,1,p_050,FIR,,
case_127,1,H5,1,p_076,FIR,,
case_128,1,H1,2,p_010;p_002,FIR,,
case_129,1,H1,1,p_016,FIR,,
case_130,1,H6,2,p_088;p_094,FIR,,
case_131,2,H2,6,p_029;p_025;p_033;p_018;p_034;p_023,FIR;Photo,,
case_132,2,H4,5,p_064;p_058;p_052;p_068;p_056,FIR;Photo,,
case_133,2,H5,3,p_075;p_084;p_072,FIR;Financial,,
case_134,2,H2,4,p_032;p_025;p_022;p_030,FIR;Financial,,
case_135,2,H1,6,p_006;p_008;p_016;p_007;p_011;p_001,FIR;Photo,,
case_136,2,H2,6,p_019;p_024;p_018;p_027;p_020;p_033,FIR;CDR,,
case_137,2,H6,3,p_091;p_098;p_093,FIR;Photo,,
case_138,2,H3,3,p_037;p_040;p_050,FIR;CDR,,
case_139,2,H2,6,p_019;p_027;p_028;p_029;p_024;p_023,FIR;Financial,,
case_140,2,H4,4,p_055;p_052;p_053;p_056,FIR;CDR,,
case_141,2,H3,6,p_038;p_041;p_050;p_040;p_047;p_039,FIR;Financial,,
case_142,2,H1,3,p_016;p_007;p_006,FIR;Photo,,
case_143,2,H4,4,p_062;p_063;p_067;p_059,FIR;CDR,,
case_144,2,H6,6,p_093;p_098;p_086;p_092;p_100;p_102,FIR;CDR,,
case_145,2,H1,5,p_007;p_003;p_015;p_010;p_006,FIR;Financial,,
case_146,2,H3,5,p_036;p_043;p_046;p_049;p_048,FIR;Financial,,
case_147,2,H3,5,p_035;p_037;p_051;p_048;p_038,FIR;CDR,,
case_148,2,H4,6,p_064;p_060;p_066;p_058;p_059;p_054,FIR;Financial,,
case_149,2,H2,3,p_027;p_022;p_034,FIR;CDR,,
case_150,2,H3,5,p_049;p_046;p_047;p_051;p_044,FIR;CDR,,
case_151,2,H5,4,p_081;p_074;p_072;p_075,FIR;CDR,,
case_152,2,H6,3,p_101;p_096;p_088,FIR;Financial,,
case_153,2,H1,3,p_009;p_003;p_004,FIR;CDR,,
case_154,2,H4,6,p_066;p_057;p_055;p_054;p_058;p_059,FIR;Photo,,
case_155,2,H6,4,p_089;p_095;p_090;p_100,FIR;Photo,,
case_156,2,H3,5,p_043;p_051;p_038;p_042;p_049,FIR;CDR,,
case_157,2,H2,4,p_022;p_027;p_032;p_033,FIR;CDR,,
case_158,2,H3,3,p_047;p_043;p_038,FIR;Photo,,
case_159,2,H5,4,p_072;p_083;p_069;p_070,FIR;CDR,,
case_160,2,H4,4,p_066;p_063;p_052;p_056,FIR;CDR,,
case_161,2,H1,3,p_007;p_017;p_015,FIR;CDR,,
case_162,2,H3,4,p_049;p_043;p_047;p_051,FIR;Photo,,
case_163,2,H1,3,p_012;p_007;p_001,FIR;Financial,,
case_164,2,H3,4,p_036;p_041;p_039;p_035,FIR;Photo,,
case_165,2,H6,4,p_086;p_096;p_092;p_101,FIR;Financial,,
case_166,2,H2,5,p_020;p_024;p_018;p_030;p_025,FIR;Photo,,
case_167,2,H4,3,p_065;p_055;p_064,FIR;Financial,,
case_168,2,H6,4,p_088;p_091;p_092;p_097,FIR;Financial,,
case_169,2,H4,5,p_061;p_065;p_052;p_056;p_063,FIR;Photo,,
case_170,2,H3,6,p_048;p_035;p_051;p_047;p_049;p_040,FIR;Photo,,
case_171,2,H2,6,p_030;p_024;p_018;p_033;p_020;p_031,FIR;CDR,,
case_172,2,H1,6,p_012;p_015;p_013;p_003;p_014;p_001,FIR;CDR,,
case_173,2,H5,4,p_081;p_071;p_078;p_083,FIR;Financial,,
case_174,2,H6,4,p_090;p_097;p_102;p_088,FIR;Photo,,
case_175,2,H2,3,p_021;p_030;p_025,FIR;CDR,,
case_176,2,H3,4,p_036;p_050;p_040;p_035,FIR;Photo,,
case_177,2,H6,6,p_088;p_091;p_096;p_098;p_089;p_095,FIR;Financial,,
case_178,2,H5,4,p_084;p_074;p_078;p_072,FIR;CDR,,
case_179,2,H4,4,p_064;p_063;p_053;p_054,FIR;CDR,,
case_180,2,H6,4,p_087;p_102;p_096;p_099,FIR;Financial,,
case_181,2,H1,6,p_015;p_010;p_011;p_007;p_005;p_016,FIR;CDR,,
case_182,2,H4,6,p_063;p_066;p_060;p_059;p_054;p_052,FIR;CDR,,
case_183,2,H5,6,p_083;p_076;p_084;p_081;p_078;p_085,FIR;CDR,,
case_184,2,H4,6,p_055;p_054;p_067;p_057;p_058;p_065,FIR;CDR,,
case_185,2,H4,3,p_053;p_056;p_068,FIR;Photo,,
case_186,2,H3,3,p_036;p_047;p_045,FIR;CDR,,
case_187,2,H1,3,p_004;p_007;p_003,FIR;Financial,,
case_188,2,H3,4,p_042;p_037;p_048;p_040,FIR;Photo,,
case_189,2,H3,4,p_045;p_043;p_049;p_048,FIR;Financial,,
case_190,2,H2,5,p_034;p_033;p_021;p_027;p_022,FIR;Photo,,
case_191,2,H5,4,p_079;p_080;p_069;p_072,FIR;CDR,,
case_192,2,H4,4,p_060;p_062;p_066;p_058,FIR;CDR,,
case_193,2,H3,3,p_051;p_036;p_045,FIR;Financial,,
case_194,2,H4,3,p_060;p_064;p_063,FIR;Financial,,
case_195,2,H3,6,p_046;p_039;p_040;p_049;p_047;p_036,FIR;Financial,,
case_196,2,H2,4,p_019;p_027;p_031;p_026,FIR;Financial,,
case_197,2,H3,5,p_035;p_036;p_038;p_037;p_039,FIR;Photo,,
case_198,2,H6,6,p_099;p_097;p_100;p_086;p_088;p_093,FIR;CDR,,
case_199,2,H5,3,p_069;p_070;p_085,FIR;Photo,,
case_200,2,H3,5,p_038;p_046;p_043;p_051;p_041,FIR;Photo,,
